"year","month","sti1","ts","time","sti2","sti3","sti4","sti5","sti6","sti7","sti8","sti9","sti10","sti11","sti12"
1882,2,0.190358,1882.12,"1882-2-15 00:00:00",0.362813305416187,-0.120798333648871,-0.734755622942031,-1.33744824687359,-1.6445404244803,-1.6446741858457,-1.73513517672468,-2.25871515526965,-2.18829767625949,-2.17584384335157,-2.15712417990909
1882,3,-0.22565,1882.21,"1882-3-15 00:00:00",-0.0236524711552991,0.16742362885757,-0.203665045881057,-0.735041038624885,-1.28401942816638,-1.57787199919452,-1.59056942677308,-1.68452531366571,-2.18512838963223,-2.12765261383892,-2.12298712386795
1882,4,-1.55574,1882.29,"1882-4-15 00:00:00",-1.19387610765437,-0.843748142475965,-0.556972938858119,-0.793354814525625,-1.21453249540088,-1.68052804063268,-1.92911246912382,-1.92353006345912,-1.99681570834528,-2.4577975388556,-2.39397911076515
1882,5,-1.2256,1882.38,"1882-5-15 00:00:00",-1.86403615899013,-1.59465191582809,-1.26511676512243,-0.973594451037676,-1.14968371143898,-1.50961347018428,-1.92477170673633,-2.14697019852656,-2.13434808710675,-2.19687786670462,-2.62931054017028
1882,6,-1.5442,1882.46,"1882-6-15 00:00:00",-1.85630212529603,-2.29389876520742,-2.04420981166781,-1.72194325561196,-1.42514994403761,-1.55387925468127,-1.86244474055544,-2.23251595791054,-2.42891470162891,-2.40684565482936,-2.45706388535372
1882,7,-1.57361,1882.54,"1882-7-15 00:00:00",-2.08953618646444,-2.30337549434048,-2.64965872892588,-2.41847382608918,-2.10918199710872,-1.81545121826823,-1.9122792213632,-2.18255754941238,-2.51719478896925,-2.69300720696816,-2.6637496287067
1882,8,-0.431101,1882.62,"1882-8-15 00:00:00",-1.34354440389354,-1.88204075346223,-2.1445165400952,-2.49959939199236,-2.33005704058226,-2.06974992393383,-1.81052085394105,-1.90780345794675,-2.16783518879459,-2.49039916047175,-2.6637496287067
1882,9,-1.21976,1882.71,"1882-9-15 00:00:00",-1.1063964123288,-1.70998535335406,-2.14189344914533,-2.36693239289208,-2.68337735530532,-2.52824837775587,-2.2833563079105,-2.03453256243124,-2.11800413736563,-2.35727810554242,-2.6589237782696
1882,10,-2.27817,1882.79,"1882-10-15 00:00:00",-2.344290162877,-2.08362409302923,-2.47156298073374,-2.78255624920195,-2.94013887562538,-3.195623197763,-3.02644184846883,-2.77394400666841,-2.51734801349807,-2.575212518428,-2.78443400099019
1882,11,-1.6968,1882.88,"1882-11-15 00:00:00",-2.66399929922303,-2.75484326409787,-2.52689492835609,-2.84281276465734,-3.10760981173659,-3.24148871532688,-3.46929292935282,-3.30467700748226,-3.05927009238347,-2.80756084402891,-2.85321070657802
1882,12,-2.83269,1882.96,"1882-12-15 00:00:00",-3.0356350326764,-3.61020424454563,-3.60559122479581,-3.33998034971356,-3.56555681188498,-3.76403241745171,-3.85368519916541,-4.03786530567549,-3.85927891001603,-3.60497171747119,-3.34473953272739
1883,1,-1.98578,1883.04,"1883-1-15 00:00:00",-3.22930756793817,-3.45514544033645,-3.94965631544985,-3.95386985948866,-3.71204767720109,-3.90761171169427,-4.08251742882683,-4.15880717682246,-4.32507353854314,-4.15002390327299,-3.9013506449049
1883,2,-2.17121,1883.12,"1883-2-15 00:00:00",-2.78598793119876,-3.70673218169176,-3.90161422503921,-4.32956488982966,-4.33050625777309,-4.10192075250083,-4.27126232650896,-4.42474486349183,-4.48794936022652,-4.63732375769791,-4.4638666352826
1883,3,-0.733769,1883.21,"1883-3-15 00:00:00",-1.94689822068031,-2.59364288181985,-3.46905979001447,-3.71973381036813,-4.15777839760412,-4.20033294922579,-4.01845024438226,-4.19682410827018,-4.35779292976791,-4.43144660734454,-4.58489853549243
1883,4,-1.42572,1883.29,"1883-4-15 00:00:00",-1.44727562288013,-2.2966346603164,-2.83710597601807,-3.61269359929573,-3.85480598782485,-4.26730063671661,-4.3178541795471,-4.15523241139564,-4.32643879820496,-4.48157019482964,-4.55392829492815
1883,5,-1.05461,1883.38,"1883-5-15 00:00:00",-1.66230119518936,-1.70448492612585,-2.41886220893063,-2.91059068316906,-3.62656286290708,-3.86946132953913,-4.26814010823691,-4.33058434409256,-4.18909245889732,-4.35894373472155,-4.51319916530127
